client_id,age,sexe,compte_type,solde,nb_transactions_mois,montant_total_mois,transaction_suspecte,fidelite,produit_conso
1,56,M,Épargne,5388.77,25,2043.15,0,2,Assurance
2,69,M,Courant,4293.67,24,3849.73,0,5,Assurance
3,46,M,Courant,5676.97,23,2254.06,0,1,Placement
4,32,F,Épargne,4409.2,29,3651.29,0,6,Carte
5,60,M,Épargne,5336.92,18,1338.78,0,12,Crédit
6,25,M,Courant,7635.2,15,2909.43,0,3,Assurance
7,38,M,Épargne,2986.91,16,2843.8,0,8,Placement
8,56,F,Épargne,7279.76,17,3052.66,0,13,Crédit
9,36,F,Courant,7634.23,24,2664.39,0,9,Placement
10,40,M,Épargne,4763.86,13,2136.6,0,8,Placement
11,28,M,Épargne,756.29,18,1288.47,0,6,Placement
12,28,M,Épargne,3784.36,16,820.69,0,14,Carte
13,41,M,Épargne,7593.99,26,1377.89,0,11,Carte
14,53,F,Épargne,4954.26,16,2207.84,0,7,Placement
15,57,F,Épargne,3001.4,11,1301.4,0,2,Assurance
16,41,F,Épargne,3990.45,23,2937.15,0,10,Crédit
17,20,F,Épargne,6681.24,16,817.91,1,4,Assurance
18,39,M,Épargne,6093.47,19,2154.66,0,1,Carte
19,19,M,Épargne,4522.14,24,3785.05,0,9,Crédit
20,41,M,Épargne,4266.35,17,1978.87,0,6,Placement
21,61,F,Courant,4216.48,16,2557.33,0,12,Assurance
22,47,M,Épargne,3155.18,24,2038.87,0,7,Assurance
23,55,F,Épargne,8230.75,24,4127.31,0,8,Placement
24,19,F,Courant,4355.36,25,3456.62,1,10,Assurance
25,38,M,Épargne,7434.32,21,1713.9,0,10,Carte
26,50,M,Courant,8042.63,26,2223.21,0,6,Placement
27,29,M,Courant,6996.62,24,3460.91,0,9,Assurance
28,39,F,Épargne,4136.76,23,4013.29,0,14,Placement
29,61,M,Courant,5807.46,16,1797.51,0,9,Crédit
30,42,F,Épargne,4951.61,18,1597.41,0,12,Placement
31,66,M,Épargne,3192.6,24,4321.24,0,7,Assurance
32,44,F,Épargne,5648.72,21,3158.2,0,11,Carte
33,59,F,Courant,2641.92,19,2227.04,0,8,Placement
34,45,M,Courant,7375.36,22,2710.07,0,5,Placement
35,33,F,Épargne,4070.77,29,2338.52,0,11,Assurance
36,32,F,Premium,5402.32,20,2880.41,0,11,Carte
37,64,M,Épargne,5566.58,23,2387.66,0,9,Carte
38,68,F,Courant,4482.19,17,3388.9,0,1,Crédit
39,61,M,Épargne,6173.39,22,2684.61,0,1,Crédit
40,69,F,Épargne,4050.19,15,1843.24,0,3,Assurance
41,20,M,Épargne,6742.59,19,2562.68,0,14,Carte
42,54,M,Courant,2308.04,25,4687.84,0,8,Carte
43,68,F,Épargne,5252.76,21,3572.58,0,6,Crédit
44,24,F,Épargne,8877.86,31,3647.75,0,1,Crédit
45,38,F,Premium,2999.34,20,3156.1,0,7,Assurance
46,26,F,Courant,3644.51,15,2069.03,0,10,Carte
47,56,F,Épargne,6027.82,17,2105.54,0,6,Placement
48,35,M,Premium,5359.16,21,1655.79,0,8,Crédit
49,21,F,Courant,5701.26,18,2152.63,0,7,Assurance
50,42,M,Premium,5978.37,12,1042.47,0,2,Carte
51,31,M,Épargne,6269.44,22,4118.98,0,0,Carte
52,67,F,Courant,7219.4,15,1504.67,0,1,Crédit
53,26,M,Courant,5819.64,17,3278.27,0,14,Assurance
54,43,M,Épargne,4517.48,27,3508.87,0,13,Placement
55,19,M,Courant,6345.15,25,3618.29,0,12,Crédit
56,37,M,Épargne,8799.76,18,2365.94,0,1,Assurance
57,45,F,Courant,4734.73,12,832.89,0,3,Carte
58,64,M,Épargne,3050.94,12,1276.48,0,5,Placement
59,24,F,Courant,7214.16,16,1037.95,0,3,Assurance
60,61,F,Épargne,4759.24,17,2438.53,0,8,Placement
61,25,M,Premium,654.66,15,1755.47,0,3,Assurance
62,64,F,Premium,6694.84,17,2833.86,0,5,Assurance
63,52,F,Épargne,3929.34,18,1495.27,0,5,Assurance
64,31,F,Courant,4818.93,16,1194.96,0,9,Assurance
65,34,M,Épargne,5663.96,16,1775.2,0,10,Placement
66,53,F,Courant,5381.0,22,4157.73,1,9,Crédit
67,67,F,Courant,6418.9,16,2505.01,0,0,Placement
68,57,F,Courant,4129.03,14,1579.74,0,7,Assurance
69,21,M,Courant,6026.21,26,3317.36,0,11,Placement
70,19,F,Épargne,4480.91,12,751.58,0,2,Placement
71,23,M,Épargne,6477.62,17,3360.67,0,14,Placement
72,59,M,Courant,6230.73,24,3599.07,0,12,Assurance
73,21,M,Courant,3129.12,21,1949.02,0,5,Placement
74,46,M,Premium,7171.96,14,1930.2,0,2,Carte
75,35,M,Courant,3928.07,17,1129.18,0,14,Assurance
76,43,M,Courant,6616.12,12,2338.51,0,10,Placement
77,61,F,Courant,5734.57,17,1295.7,0,1,Carte
78,51,M,Épargne,8676.37,11,1619.25,0,14,Placement
79,27,F,Épargne,4553.07,19,1649.55,0,4,Crédit
80,53,F,Courant,4301.37,21,3310.32,0,13,Placement
81,31,M,Courant,4961.16,17,2830.89,0,0,Placement
82,48,F,Épargne,4393.64,26,3926.34,0,8,Crédit
83,65,F,Épargne,6599.88,15,2132.62,0,10,Assurance
84,32,F,Courant,1767.38,23,4229.02,0,6,Crédit
85,25,F,Premium,2892.64,20,1235.88,0,2,Assurance
86,31,M,Courant,2864.39,18,1793.47,0,3,Crédit
87,40,F,Courant,6900.62,19,1657.62,0,12,Placement
88,57,M,Premium,8421.23,19,3765.84,0,5,Placement
89,38,F,Courant,4791.1,14,1517.72,0,2,Assurance
90,33,F,Épargne,4662.36,30,4796.76,0,11,Assurance
91,62,M,Courant,5140.1,21,3206.88,0,6,Carte
92,35,F,Courant,7323.76,20,1636.24,0,12,Carte
93,64,F,Premium,3145.29,16,1373.59,0,5,Placement
94,41,F,Courant,5476.74,18,1659.47,0,8,Placement
95,43,M,Épargne,6950.4,14,1563.37,0,11,Carte
96,42,F,Courant,6002.19,15,1277.23,0,14,Carte
97,62,M,Courant,5379.16,16,847.16,0,4,Assurance
98,58,F,Courant,7002.09,25,4547.72,0,3,Crédit
99,46,M,Épargne,-406.46,21,4091.67,0,2,Assurance
